Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,14.621429,14.732143,14.607143,14.686786,12.519279,302220800
2012-01-04,14.642857,14.81,14.617143,14.765714,12.586557,260022000
2012-01-05,14.819643,14.948214,14.738214,14.929643,12.726296,271269600
2012-01-06,14.991786,15.098214,14.972143,15.085714,12.85933,318292800
2012-01-09,15.196429,15.276786,15.048214,15.061786,12.838936,394024400
2012-01-10,15.211071,15.214286,15.053571,15.115714,12.884907,258196400
2012-01-11,15.095714,15.101786,14.975357,15.091071,12.863898,215084800
2012-01-12,15.081429,15.103571,14.955357,15.049643,12.828585,212587200
2012-01-13,14.989286,15.016071,14.952143,14.993214,12.780481,226021600
2012-01-17,15.15,15.213929,15.105714,15.167857,12.929352,242897200
2012-01-18,15.248571,15.338214,15.225,15.325357,13.06361,276791200
2012-01-19,15.3625,15.406071,15.2325,15.276786,13.022203,261738400
2012-01-20,15.2675,15.267857,14.991071,15.010714,12.795398,413974400
2012-01-23,15.095357,15.301786,15.082143,15.264643,13.011853,306062400
2012-01-24,15.182143,15.182143,14.983929,15.014643,12.798751,547638000
2012-01-25,16.23,16.230356,15.8475,15.952143,13.597893,958314000
2012-01-26,16.012857,16.028214,15.826429,15.879643,13.536092,323985200
2012-01-27,15.869286,16.017143,15.848929,15.974286,13.616766,299709200
2012-01-30,15.918214,16.210714,15.906786,16.178928,13.791206,379341200
2012-01-31,16.27107,16.365713,16.18107,16.302856,13.896847,391683600
2012-02-01,16.371786,16.3925,16.269644,16.2925,13.888019,270046000
2012-02-02,16.282143,16.327499,16.213572,16.254286,13.855445,186796400
2012-02-03,16.332144,16.428572,16.27,16.417143,13.994265,286599600
2012-02-06,16.370714,16.606428,16.364286,16.570356,14.124867,249412800
2012-02-07,16.616072,16.776787,16.592142,16.743929,14.272825,316223600
2012-02-08,16.803572,17.028214,16.775,17.024286,14.511807,407890000
2012-02-09,17.17,17.741072,17.162857,17.613214,15.013813,884214800
2012-02-10,17.534286,17.772142,17.448214,17.622143,15.021429,631302000
2012-02-13,17.840357,17.993929,17.753214,17.950001,15.3009,517216000
2012-02-14,18.023571,18.19857,17.928572,18.195,15.509743,460398400
2012-02-15,18.366428,18.79607,17.746071,17.77393,15.150817,1506120000
2012-02-16,17.553572,18.031786,17.379642,17.936071,15.289025,944552000
2012-02-17,17.968214,18.134644,17.867857,17.932858,15.28629,535805200
2012-02-21,18.102858,18.387501,18.004286,18.387501,15.673838,605595200
2012-02-22,18.324286,18.410357,18.18107,18.322857,15.618731,483302400
2012-02-23,18.395714,18.493929,18.196428,18.442499,15.720713,568027600
2012-02-24,18.559643,18.674999,18.522858,18.657499,15.903982,415072000
2012-02-27,18.618214,18.875,18.438572,18.777143,16.005976,547582000
2012-02-28,18.855715,19.121786,18.780357,19.121786,16.299746,600387200
2012-02-29,19.341429,19.557501,19.132143,19.372856,16.513769,952011200
2012-03-01,19.577499,19.57893,19.241785,19.445356,16.575571,683270000
2012-03-02,19.437143,19.52857,19.375713,19.470715,16.597185,431712400
2012-03-05,19.479286,19.552856,18.785713,19.04143,16.231255,809124400
2012-03-06,18.702143,19.060356,18.436428,18.937857,16.142962,810238800
2012-03-07,19.171429,19.206429,18.689285,18.953215,16.156057,798520800
2012-03-08,19.096071,19.3925,19.004286,19.356787,16.500076,516457200
2012-03-09,19.436071,19.562143,19.396786,19.470358,16.596886,418919200
2012-03-12,19.606428,19.714287,19.535713,19.714287,16.804813,407282400
2012-03-13,19.912144,20.292143,19.848213,20.289286,17.29495,690855200
2012-03-14,20.644644,21.24,20.549999,21.056429,17.94887,1418844000
2012-03-15,21.414642,21.428928,20.6625,20.912857,17.826488,1159718000
2012-03-16,20.882856,21.042856,20.642857,20.913214,17.826797,825487600
2012-03-19,21.370358,21.491785,21.0375,21.467857,18.29958,901236000
2012-03-20,21.411072,21.674999,21.124287,21.64143,18.447546,816662000
2012-03-21,21.526428,21.773214,21.47893,21.517857,18.342205,644042000
2012-03-22,21.349285,21.589287,21.268929,21.405001,18.246006,623870800
